Stimuli,Condition,Feature,subject,accuracy
Dutch_stimuli,Words,Phoneme Onset,sub-019,0.0012699988159416147
Dutch_stimuli,Words,Phoneme Onset,sub-020,0.001838752480488664
Chinese_stimuli,Words,Phoneme Onset,sub-003,9.464453315546171e-05
Chinese_stimuli,Words,Phoneme Onset,sub-005,0.0003469510189596452
Chinese_stimuli,Words,Phoneme Onset,sub-007,0.0003162402060445403
Chinese_stimuli,Words,Phoneme Onset,sub-008,0.0005655430252527833
Chinese_stimuli,Words,Phoneme Onset,sub-009,0.0014101504563565513
Chinese_stimuli,Words,Phoneme Onset,sub-010,0.0009402233109428652
Chinese_stimuli,Words,Phoneme Onset,sub-012,0.0004510979055000539
Chinese_stimuli,Words,Phoneme Onset,sub-013,0.0008896892930030517
Chinese_stimuli,Words,Phoneme Onset,sub-014,0.0004635103242794591
Chinese_stimuli,Words,Phoneme Onset,sub-015,0.001026628726350973
Chinese_stimuli,Words,Phoneme Onset,sub-016,0.00044986211316320747
Chinese_stimuli,Words,Phoneme Onset,sub-017,0.0005259357666536759
Chinese_stimuli,Words,Phoneme Onset,sub-018,0.0007840615203583601
Chinese_stimuli,Words,Phoneme Onset,sub-019,0.0006224696064000229
Chinese_stimuli,Words,Phoneme Onset,sub-020,0.0006819959283252495
Dutch_stimuli,Syllables,Phoneme Onset,sub-003,4.2266118265769294e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-005,-0.0001440936295602855
Dutch_stimuli,Syllables,Phoneme Onset,sub-007,0.00025917811891301186
Dutch_stimuli,Syllables,Phoneme Onset,sub-008,4.497407127304497e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-009,0.00031020775664945566
Dutch_stimuli,Syllables,Phoneme Onset,sub-010,0.0001955371554015924
Dutch_stimuli,Syllables,Phoneme Onset,sub-012,9.537152635564657e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-013,0.00018954442523264875
Dutch_stimuli,Syllables,Phoneme Onset,sub-014,0.00019737224977924657
Dutch_stimuli,Syllables,Phoneme Onset,sub-015,8.591702268633359e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-016,0.00019945238152127912
Dutch_stimuli,Syllables,Phoneme Onset,sub-017,2.6860987473672036e-05
Dutch_stimuli,Syllables,Phoneme Onset,sub-018,0.0003898903801092091
Dutch_stimuli,Syllables,Phoneme Onset,sub-019,0.00013520193730401147
Dutch_stimuli,Syllables,Phoneme Onset,sub-020,3.5568520528328755e-05
