Condition,Stimuli_or_Condition,Time,Feature,subject,peak_latency
Words,Dutch,Early_time,Phoneme Onset,11,9
Words,Dutch,Early_time,Phoneme Onset,12,-3
Words,Dutch,Early_time,Phoneme Onset,13,9
Words,Dutch,Early_time,Phoneme Onset,14,9
Syllables,Dutch,Early_time,Phoneme Onset,0,9
Syllables,Dutch,Early_time,Phoneme Onset,1,6
Syllables,Dutch,Early_time,Phoneme Onset,2,7
Syllables,Dutch,Early_time,Phoneme Onset,3,7
Syllables,Dutch,Early_time,Phoneme Onset,4,7
Syllables,Dutch,Early_time,Phoneme Onset,5,-3
Syllables,Dutch,Early_time,Phoneme Onset,6,-1
Syllables,Dutch,Early_time,Phoneme Onset,7,6
Syllables,Dutch,Early_time,Phoneme Onset,8,9
Syllables,Dutch,Early_time,Phoneme Onset,9,9
Syllables,Dutch,Early_time,Phoneme Onset,10,9
Syllables,Dutch,Early_time,Phoneme Onset,11,1
Syllables,Dutch,Early_time,Phoneme Onset,12,9
Syllables,Dutch,Early_time,Phoneme Onset,13,-1
Syllables,Dutch,Early_time,Phoneme Onset,14,-3
Words,Dutch,Mid_time,Phoneme Onset,0,19
Words,Dutch,Mid_time,Phoneme Onset,1,35
Words,Dutch,Mid_time,Phoneme Onset,2,34
Words,Dutch,Mid_time,Phoneme Onset,3,21
Words,Dutch,Mid_time,Phoneme Onset,4,31
Words,Dutch,Mid_time,Phoneme Onset,5,19
Words,Dutch,Mid_time,Phoneme Onset,6,31
Words,Dutch,Mid_time,Phoneme Onset,7,28
Words,Dutch,Mid_time,Phoneme Onset,8,32
Words,Dutch,Mid_time,Phoneme Onset,9,25
Words,Dutch,Mid_time,Phoneme Onset,10,35
Words,Dutch,Mid_time,Phoneme Onset,11,17
Words,Dutch,Mid_time,Phoneme Onset,12,33
Words,Dutch,Mid_time,Phoneme Onset,13,15
Words,Dutch,Mid_time,Phoneme Onset,14,15
Syllables,Dutch,Mid_time,Phoneme Onset,0,15
Syllables,Dutch,Mid_time,Phoneme Onset,1,29
Syllables,Dutch,Mid_time,Phoneme Onset,2,37
Syllables,Dutch,Mid_time,Phoneme Onset,3,19
Syllables,Dutch,Mid_time,Phoneme Onset,4,26
Syllables,Dutch,Mid_time,Phoneme Onset,5,19
Syllables,Dutch,Mid_time,Phoneme Onset,6,16
Syllables,Dutch,Mid_time,Phoneme Onset,7,38
Syllables,Dutch,Mid_time,Phoneme Onset,8,23
Syllables,Dutch,Mid_time,Phoneme Onset,9,22
Syllables,Dutch,Mid_time,Phoneme Onset,10,19
Syllables,Dutch,Mid_time,Phoneme Onset,11,35
Syllables,Dutch,Mid_time,Phoneme Onset,12,15
Syllables,Dutch,Mid_time,Phoneme Onset,13,24
Syllables,Dutch,Mid_time,Phoneme Onset,14,27
Words,Dutch,Late_time,Phoneme Onset,0,36
Words,Dutch,Late_time,Phoneme Onset,1,35
Words,Dutch,Late_time,Phoneme Onset,2,37
Words,Dutch,Late_time,Phoneme Onset,3,67
Words,Dutch,Late_time,Phoneme Onset,4,43
Words,Dutch,Late_time,Phoneme Onset,5,36
Words,Dutch,Late_time,Phoneme Onset,6,35
Words,Dutch,Late_time,Phoneme Onset,7,66
Words,Dutch,Late_time,Phoneme Onset,8,67
Words,Dutch,Late_time,Phoneme Onset,9,55
Words,Dutch,Late_time,Phoneme Onset,10,35
Words,Dutch,Late_time,Phoneme Onset,11,35
Words,Dutch,Late_time,Phoneme Onset,12,35
Words,Dutch,Late_time,Phoneme Onset,13,35
Words,Dutch,Late_time,Phoneme Onset,14,39
Syllables,Dutch,Late_time,Phoneme Onset,0,36
Syllables,Dutch,Late_time,Phoneme Onset,1,50
Syllables,Dutch,Late_time,Phoneme Onset,2,57
Syllables,Dutch,Late_time,Phoneme Onset,3,52
Syllables,Dutch,Late_time,Phoneme Onset,4,51
Syllables,Dutch,Late_time,Phoneme Onset,5,60
Syllables,Dutch,Late_time,Phoneme Onset,6,71
Syllables,Dutch,Late_time,Phoneme Onset,7,71
Syllables,Dutch,Late_time,Phoneme Onset,8,35
Syllables,Dutch,Late_time,Phoneme Onset,9,35
Syllables,Dutch,Late_time,Phoneme Onset,10,46
Syllables,Dutch,Late_time,Phoneme Onset,11,59
Syllables,Dutch,Late_time,Phoneme Onset,12,54
Syllables,Dutch,Late_time,Phoneme Onset,13,59
Syllables,Dutch,Late_time,Phoneme Onset,14,68
