Condition,Feature,subject,accuracy
random_syllables,Acoustic Edge,sub-035,0.00016116384281409036
random_syllables,Acoustic Edge,sub-036,0.000294603189972236
random_syllables,Acoustic Edge,sub-037,0.000989543403234473
random_syllables,Acoustic Edge,sub-038,0.000864140196226023
random_word_list,Phoneme Onset,sub-006,0.009403603232898012
random_word_list,Phoneme Onset,sub-008,0.008898437546023956
random_word_list,Phoneme Onset,sub-009,0.008245540470161596
random_word_list,Phoneme Onset,sub-010,0.00667734480894506
random_word_list,Phoneme Onset,sub-011,0.004254245506569677
random_word_list,Phoneme Onset,sub-012,0.003694429589757893
random_word_list,Phoneme Onset,sub-013,0.006042970557219453
random_word_list,Phoneme Onset,sub-015,0.002049359650229683
random_word_list,Phoneme Onset,sub-016,0.0007257598238857902
random_word_list,Phoneme Onset,sub-017,0.012590942804977344
random_word_list,Phoneme Onset,sub-018,0.015085391367940428
random_word_list,Phoneme Onset,sub-019,0.0012395414542364803
random_word_list,Phoneme Onset,sub-020,0.006286004071832405
random_word_list,Phoneme Onset,sub-021,0.008403737054457325
random_word_list,Phoneme Onset,sub-022,0.007301973409992623
random_word_list,Phoneme Onset,sub-023,0.005404056400462829
random_word_list,Phoneme Onset,sub-024,0.0008569812931621466
random_word_list,Phoneme Onset,sub-025,0.0025144882370956843
random_word_list,Phoneme Onset,sub-026,0.004589492589792153
random_word_list,Phoneme Onset,sub-027,0.004948677907976814
random_word_list,Phoneme Onset,sub-028,0.006222890592788561
random_word_list,Phoneme Onset,sub-030,0.006049424064159901
random_word_list,Phoneme Onset,sub-031,0.0011556124880541824
random_word_list,Phoneme Onset,sub-032,0.005917363803575543
random_word_list,Phoneme Onset,sub-033,0.0034744594692534964
random_word_list,Phoneme Onset,sub-034,0.00603666415110499
random_word_list,Phoneme Onset,sub-035,0.004399299356104802
random_word_list,Phoneme Onset,sub-036,0.005305515764476051
random_word_list,Phoneme Onset,sub-037,0.013554484931633151
random_word_list,Phoneme Onset,sub-038,0.006747824516624793
random_syllables,Phoneme Onset,sub-006,0.0038533115092739406
