Condition,Feature,subject,accuracy
random_word_list,Phoneme Onset,sub-009,0.0008205230418674998
random_word_list,Phoneme Onset,sub-010,0.0005332083003474282
random_word_list,Phoneme Onset,sub-011,0.00033912687207190886
random_word_list,Phoneme Onset,sub-012,0.0009196400921651052
random_word_list,Phoneme Onset,sub-013,0.0006411741316232442
random_word_list,Phoneme Onset,sub-015,0.00033994453595420925
random_word_list,Phoneme Onset,sub-016,0.00017764014835857959
random_word_list,Phoneme Onset,sub-017,0.0009626432161179836
random_word_list,Phoneme Onset,sub-018,0.0008102477977689743
random_word_list,Phoneme Onset,sub-019,9.183745187665528e-05
random_word_list,Phoneme Onset,sub-020,0.00037028115023619694
random_word_list,Phoneme Onset,sub-021,0.0007159008825593069
random_word_list,Phoneme Onset,sub-022,0.000674510826089473
random_word_list,Phoneme Onset,sub-023,0.00018288949444719135
random_word_list,Phoneme Onset,sub-024,0.00017128747617570542
random_word_list,Phoneme Onset,sub-025,0.0004519113442556043
random_word_list,Phoneme Onset,sub-026,0.0005419625076732813
random_word_list,Phoneme Onset,sub-027,0.0005426511222010145
random_word_list,Phoneme Onset,sub-028,0.0006738165645859322
random_word_list,Phoneme Onset,sub-030,0.000625833922664553
random_word_list,Phoneme Onset,sub-031,9.328649431449091e-05
random_word_list,Phoneme Onset,sub-032,0.00037196990570052726
random_word_list,Phoneme Onset,sub-033,0.0003901791235876028
random_word_list,Phoneme Onset,sub-034,0.0006925807525500612
random_word_list,Phoneme Onset,sub-035,0.00037781500722175795
random_word_list,Phoneme Onset,sub-036,0.0003447042192916448
random_word_list,Phoneme Onset,sub-037,0.0012372434296729427
random_word_list,Phoneme Onset,sub-038,0.0007591948444734025
