Stimuli,condition,feature,subject,accuracy
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-016,0.004788570859865556
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-017,0.0007997658720877227
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-018,0.012442575111983989
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-019,0.001129476331340059
Dutch_stimuli,Words,Phoneme Surprisal/Entropy,sub-020,0.0017623139540545892
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-003,1.707801828198526e-05
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-005,0.00028363245678503604
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-007,0.0001408499762027327
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-008,0.0005337486983102797
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-009,0.001246574305977287
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-010,0.0007474582846796557
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-012,0.0002951979737473455
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-013,0.00039089482749619204
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-014,0.00029244984406506997
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-015,0.0009738367348163125
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-016,0.0003127321847255684
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-017,0.00043662806896104455
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-018,0.0005830681159141481
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-019,0.0001396358543158645
Chinese_stimuli,Words,Phoneme Surprisal/Entropy,sub-020,0.00042824402041296303
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-003,-2.4196606159611942e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-005,-0.00014327212136511016
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-007,0.00020877976181359233
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-008,6.461302254474282e-06
